#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
87,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",AENON The Health Kitchen: 25% off,33,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off healthy, wholesome meals at AENON The Health Kitchen with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Aenon"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.198, Jalan Tun H.S.Lee, 52000 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
88,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Boye Café: 20% off,18,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off big breakfasts, pastas, baguettes & more at Boye with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Boye"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.3, Block C, Jalan Semarak Api 2 (3/50), Diamond Square, Setapak, 53000 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
89,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Brownies Bar: Get 20% off,25,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off rich, decadent brownies at Brownies Bar with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Brownies Bar"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 
• Outlet address 1: TL.1.111 Level 1, Pavilion Elite, Pavilion, 55100 Kuala Lumpur
• Outlet address 2: LG-C3B Lower Ground Floor, The Gardens Mall, Mid Valley City, 59200 Kuala Lumpur","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
90,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Chequers: 25% off,17,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off waffles, pizzas & snacks at Chequers with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Chequers"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 153, Jalan Aminuddin Baki, 6000 Taman Tun Dr. Ismail, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
91,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Canadian 2 For 1 Pizza: 40% off,31,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy up to 40% off freshly made pizzas, snacks & desserts at Canadian 2 For 1 Pizza with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Canadian Pizza” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 
• SS2 Outlet: 131, Jalan SS 2/24, 47300 Petaling Jaya, Selangor
• USJ Outlet: 45 Jalan USJ 9/5S, 47620 UEP Subang Jaya, Selangor
More outlet details at http://KindMeal.my/CanadianPizza/
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
92,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Cubes Pizza: Get 30% off,24,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off authentic Sicilian-style square pizzas at Cubes Pizza with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Cubes Pizza"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No. 11-G, Jalan PJS 11/2, Bandar Sunway, 46150 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
93,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Fa Ying: 40% off,16,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 40% off signature vegetarian green curry set at Fa Ying with KindMeal.my App
","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Fa Ying"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: GB-08, Level G, Boulevard, Paradigm Mall, No. 1, Jalan SS7/26A, 47301 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
94,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",V Kitchen: Get 20% off,22,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off tasty, authentic oriental dishes at V Kitchen with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “V Kitchen"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No. 17, Jalan SS20/11, Damansara Kim, 47400 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
95,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Min Yuan: 20% off,17,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off oriental delicacies at Min Yuan with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Min Yuan” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No 3-2, Jalan 16a, Taman Desa Jaya, 52100 Kepong, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
96,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Imperial Art Cottage: 20% off,29,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off a creative assortment of Japanese, Oriental & Western delights at Imperial Art Cottage with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Imperial Art Cottage"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No 27, Jalan Radin Anum 2, 57000 Sri Petaling, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
97,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",JEQ In The House: 20% off,25,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off Western meals & Cakes at JEQ In The House with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""JEQ In The House"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No. 19, Jalan 17/45, Section 17, 46400 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
98,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Lush Café: 20% off,18,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off breakfasts, burgers, pasta & toasts at Lush Cafe with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Lush” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 18-2-1, Jalan Setia Prima C, U13/C, Bandar Setia Alam, Shah Alam, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
99,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",M&W Healthy Vegetarian: 20% off,31,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic oriental dishes at M&W Healthy Vegetarian with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""M&W Healthy Vegetarian"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: Lot G22 Ground Floor, Kompleks Desa, Jalan Kepong, Batu 8 Kepong, 52100 Kepong, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
100,"Monthly Rewards
",1,,Hyderabad Recipes: 20% off,26,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic Haleem, Biryanies, BBQ, Indian bread & desserts at Hyderabad Recipes with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Hyderabad Recipes"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem the discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 78-1, Jalan Putra, 50350 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
101,"Monthly Rewards
",1,,Sukpahat: 20% off,17,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic Thai delicacies at Sukaphat with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Sukaphat"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: Valenza Hotel & Cafe, Lot 118, Batu 3 Jalan Klang Lama, 58100 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
102,"Monthly Rewards
",1,,Stars Picker Audio Cafe: 20% off,32,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off creative Western meals & desserts at Stars Picker Audio Café with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Stars Picker Audio Cafe"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 37-2, Jalan PJU 5/20E, Kota Damansara, 47810 Kota Damansara, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
103,"Monthly Rewards
",1,,Rawsome: 20% off,16,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off healthy, guilt-free raw food meals at Rawsome with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Rawsome"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: Lot No. G-072, Ground Floor, MyTOWN Shopping Centre, No.6, Jalan Cochrane, 60000 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
104,"Monthly Rewards
",1,,Kimosasa: 30% off,17,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off wholesome Asian & Western meals at Kimosasa with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Kimosasa"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: L3-21A, Central Management Office, The Mines, Jalan Dulang, Mines Resort City, 43300 Seri Kembangan, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
105,"Monthly Rewards
",1,,I Love Veggie Steamboat: 20% off,32,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",4/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off sumptuous steamboat buffet at I Love Veggie Steamboat with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""I Love Veggie Steamboat"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 25, Jalan Metro Perdana Timur 2, Taman Usahawan, 52100 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
106,"Monthly Rewards
",1,Amendment on tnc + chgs on thumbnail only ,Lost World of Tambun: 35% off admission ticket,46,"Lost World of Tambun
",offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"500,000",1/23/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,LOWTDIGI,"MyDigi Reward:
35% off Lost World Of Tambun admission ticket","Terms and Conditions:
Valid from now till 31 December 2018
Valid at Sunway Lost World Water Park Sdn Bhd at No 1 Persiaran Lagun Sunway 1, Sunway City Ipoh, 31150, Ipoh, Perak Darul Ridzuan, Malaysia
Present this e-voucher together with Mykad/Mykid at the ticketing counter to enjoy the promotion
Discount is based on published admission rate (RM95 Adult/RM88 Child)
A minimum of two (2) tickets and maximum of six (6) tickets can be purchased per day for Lost World Of Tambun
Child denotes those above 90cm in height and age 12 years and below. “Senior Citizen” denotes age from 60 years and above
This promotion is not exchangeable for cash or for sale
Ticket purchases are non-refundable
Admission rates are inclusive of GST. Rates may be subjected to further taxes as and when implemented by the state government
Not valid with other on-going promotions, offers, group purchases, events or functions
This promotion is not valid during Malaysia School Holidays, Malaysia Public Holidays and State Holiday (Perak only)
Lost World Of Tambun management reserves the right to refuse, alter, amend, delete or add to the stated Terms and Conditions or withdraw this promotion at anytime without prior notice",,Old,,,,Y,,
107,"Monthly Rewards
",1,"Chgs 
-fr 60% - 63%
-thumbnail


Amendment on tnc

-Recreate",Lost World Hotel: 63% off room rate,35,"Lost World Hotel
",offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"500,000",3/1/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,LOWTHDIGI,"MyDigi Reward:
63% off Lost World Hotel Room Rate","Terms and Conditions:
Valid from now till 31 December 2018
Valid at Sunway Lost World Hotel Sdn Bhd at No 2 Persiaran Lagun Sunway 1, Sunway City Ipoh, 31150, Ipoh, Perak Darul Ridzuan, Malaysia
Present this e-voucher during check-in to enjoy the discount 
Discount is based on published room rate
A maximum of six (6) rooms can be purchased per day
Surcharge of RM130 is applicable during Eve of Public Holiday, Public Holiday, Malaysia School Holiday & Super Peak Season
Surcharge of RM40.00 is applicable for check-in during weekends (Friday & Saturday)
The room rate is inclusive of 2 breakfasts and 2 Lost World Hot Springs & Spa by Night admission tickets
Not valid with other on-going promotions, offers, group purchases, events or functions
The promotion is not exchangeable for cash or for sale
Reservation is required before proceeding to Lost World Hotel; call: 05-540 8888 or email: lwhreservation@sunway.com.my to reserve
All transactions made are strictly on cash or credit card basis upon purchase
Lost World Of Tambun Management reserves the right to refuse, alter, amend, delete or add to the stated terms and conditions or withdraw this promotion at anytime without prior notice
",,Old,,,,Y,,
